,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría
29,30.0,A,COLON,0.0842359125509279,1,21.107775616678076,650.8846479084558,650.8846479084558,411.85078323545395,71.27940759161021,108.96718000000001,614.3761259676285,06-2018,Patrimoñales y Mixta
30,31.0,A,COMARSEG,0.0,0,12.543172441664074,0.0,0.0,0.0,86.79111443939736,41.15584444444445,278.5456875508543,06-2018,Patrimoñales y Mixta
31,32.0,A,CONFIAR,0.00462713961652815,0,22.335822461932988,0.0,0.0,0.0,77.15988436794791,12.167633333333333,30.498807038257247,06-2018,Patrimoñales y Mixta
32,33.0,A,CONFLUENCIA,2.3733313294726527e-07,0,1.60348410058756,0.0,0.0,0.0,91.2913173448293,28.280633333333334,481.4123267422181,06-2018,Patrimoñales y Mixta
33,34.0,A,CONSTRUCCIÓN,0.17348508021237735,75,34.31761656745055,193.68480730704746,242.79896300265656,226.09818072314232,54.118705459809625,43.40306946624372,5.389605979066271,06-2018,Patrimoñales y Mixta
34,35.0,C,COOP. MUTUAL PATRONAL,0.5864621476392475,522,32.60574399747685,149.63987118843082,150.78125790173937,111.69037148383816,60.78875847458451,120.8219303737138,58.45103395835289,06-2018,Patrimoñales y Mixta
35,36.0,C,COPAN,0.09081876736953204,550,33.37141209617357,145.8785258481353,160.61328001623224,128.9340976994212,52.14503005878056,173.5655240740741,32.17581526890093,06-2018,Patrimoñales y Mixta
36,37.0,A,COSENA,0.039504229918962595,4,48.61680456976628,702.6927412454465,702.6927412454465,201.80007037215128,11.64659494213204,12.23659722222222,0.0,06-2018,Patrimoñales y Mixta
37,38.0,A,CREDITO Y CAUCION,0.052966900265439806,0,39.421715160577776,0.0,0.0,325.14022465213026,57.422683034793884,89.20079562557386,0.0,06-2018,Patrimoñales y Mixta
38,39.0,A,CRÉDITOS Y GARANTÍAS,0.10396750798440099,59,57.377629482302,139.21255618198606,139.21255618198606,109.9903267479143,40.454048576983496,240.28647777777778,28.132163001848724,06-2018,Patrimoñales y Mixta
39,40.0,C,DULCE,0.07307910832755252,0,41.85310442128692,0.0,0.0,0.0,46.964911947061125,20.28923869106144,0.0,06-2018,Patrimoñales y Mixta
40,41.0,A,EDIFICAR,0.10547173368768041,20,32.16575844264125,145.22366898722012,145.22366898722012,160.6655639406973,59.555183523807365,58.85817702979919,12.77483660614152,06-2018,Patrimoñales y Mixta
41,42.0,A,EQUITATIVA DEL PLATA,0.21189904859187397,496,29.939438282139196,163.61263866242268,173.52808474862707,134.6966864955068,48.60752407602671,125.62752103095522,22.591006841564635,06-2018,Patrimoñales y Mixta
42,43.0,A,ESCUDO,0.28502836237037016,1328,37.44211204902413,85.59469713175977,105.37151104743043,91.69523696952581,30.723239080029902,2.360994830666257,11.815098326961216,06-2018,Patrimoñales y Mixta
43,44.0,A,EUROAMÉRICA,0.0006838522826070826,0,3.574542580426095,0.0,0.0,0.0,96.14710056637345,42.4435,0.0,06-2018,Patrimoñales y Mixta
44,45.0,A,FED. PATRONAL,7.2850063057474275,39330,16.58780329965236,174.82269090518668,174.95810539090078,142.46684801647268,79.76556385680416,87.0993498701436,121.21299915736267,06-2018,Patrimoñales y Mixta
45,46.0,A,FIANZAS Y CRÉDITO,0.12843912430909385,6,66.19601503295306,731.532371626456,731.532371626456,126.20437223575516,32.37220401729831,90.30071604938271,143.74067892564796,06-2018,Patrimoñales y Mixta
46,47.0,A,FINISTERRE,0.006176259848568707,0,10.346643707823839,0.0,0.0,537.7672703856827,76.08310858885689,-3.9270761904761904,104.69868961044747,06-2018,Patrimoñales y Mixta
47,48.0,A,FOMS,0.0002460100322878173,0,5.392376781549974,0.0,0.0,0.0,89.97555021382607,30.12873888888889,0.0,06-2018,Patrimoñales y Mixta
48,49.0,A,GALENO,0.05234340624853746,0,34.00467395427738,777.0994248335829,777.0994248335829,295.4089585115915,64.26763690586459,57.14676444444444,37.80896681085713,06-2018,Patrimoñales y Mixta
49,50.0,A,GALICIA,1.0390212407093953,45,45.23722672009046,360.0437918190911,362.6757690033144,183.45027756386904,48.776656500955596,13.815534785349698,28.144842382772648,06-2018,Patrimoñales y Mixta
50,51.0,A,GESTION,0.007545279536005816,0,28.7810942384852,0.0,0.0,363.4210979713138,58.17914562615443,3.2204749999999995,23.497611716954104,06-2018,Patrimoñales y Mixta
51,52.0,A,HAMBURGO,0.14491470436503232,283,20.25257404139694,290.8553415001102,293.38397647552813,232.59154078615077,32.742471970724154,226.85605684351802,0.0,06-2018,Patrimoñales y Mixta
52,53.0,A,HANSEATICA,0.05385231067786651,4,62.79698035703206,246.54292108940533,246.54292108940533,106.64091798918489,23.430441075723746,82.37739444444443,8.520783099547172,06-2018,Patrimoñales y Mixta
53,54.0,A,HDI,0.3539428886108461,2769,37.23238147658769,160.747734252796,166.98998583761937,119.16049886186322,57.67577397744574,70.7008029599924,10.500963736267526,06-2018,Patrimoñales y Mixta
54,55.0,A,HOLANDO SUDAMERICANA,0.6035283837064809,3024,39.179370293493,112.83824528710682,124.42184600617693,99.62152708442406,49.453049766569066,29.82651558355236,28.03999353899292,06-2018,Patrimoñales y Mixta
55,56.0,A,HORIZONTE,0.2839401608824981,5463,84.96870260723546,13.472162567912212,19.445841503916732,19.226897787441736,11.88282838425915,-625.2394256789904,0.856468333400192,06-2018,Patrimoñales y Mixta
56,57.0,A,IAM,0.058457366446373914,12,30.98400838925668,292.1557734130097,324.16280161919684,165.6992050455458,40.476581231197,24.672803703703703,13.81631297611856,06-2018,Patrimoñales y Mixta
57,58.0,O,INST. AUTÁRQUICO,0.6070856845962995,2942,28.53892270759737,183.8213791919607,216.6734180476664,156.6585001769493,69.51442511806668,157.7380144592051,285.87801403792866,06-2018,Patrimoñales y Mixta
58,59.0,O,INSTITUTO DE JUJUY,0.013041002052501883,0,12.369284649721866,744.5297129938461,744.5297129938461,744.5297129938461,73.72894742370526,334.81716666666665,52.43579074035686,06-2018,Patrimoñales y Mixta
59,60.0,A,INSTITUTO DE SEGUROS,0.16818826392460667,119,23.53067556764197,361.8462583700463,361.8462583700463,309.8118583597372,69.93109786782871,227.05602568621845,0.0,06-2018,Patrimoñales y Mixta
60,61.0,A,INSUR,0.07634956898622397,3,38.918133668308194,557.8798895704879,557.8798895704879,151.89708930555182,57.82697794332522,257.2737051452952,8.395181738436165,06-2018,Patrimoñales y Mixta
61,62.0,A,INTÉGRITY,0.2850526068398999,1184,33.847562351476626,180.1076950850214,188.74841301744866,146.46197106826372,54.24855166951862,290.26931944975775,117.795468698907,06-2018,Patrimoñales y Mixta
62,63.0,A,JUNCAL PATRIMONIALES,0.0,168,77.37898528095222,16.423991811566225,27.252361858751573,44.52330979493123,13.095301610211363,116.21722222222222,0.0,06-2018,Patrimoñales y Mixta
63,64.0,A,LATIN AMERICAN,0.0,0,21.845352998831597,391.0605220167563,391.0605220167563,385.1069991641481,8.501915115418937,2.2795,394.0745281931045,06-2018,Patrimoñales y Mixta
64,65.0,A,LATITUD SUR,0.06336499021608256,258,39.363976675245546,87.86068656422714,115.84072589308003,117.68455431151274,38.41770722241692,64.7026076568339,24.31097063735299,06-2018,Patrimoñales y Mixta
65,66.0,A,LIBRA,0.025986185302572545,7,48.88096380537604,50.90213942992343,143.54571214526618,90.44542637116596,46.18458695219179,-43.838235555555556,5.417148338478838,06-2018,Patrimoñales y Mixta
66,67.0,A,LIDER MOTOS,0.0,0,2.2152809275074623,0.0,0.0,0.0,97.34077215704826,0.8133611111111111,0.0,06-2018,Patrimoñales y Mixta
67,68.0,A,LIDERAR,0.8292492431516011,13944,18.96697080622445,144.20250531748363,145.17605397597302,129.98291706750027,74.77126538028978,83.29840764763065,36.376967329926806,06-2018,Patrimoñales y Mixta
68,69.0,C,LUZ Y FUERZA,0.02411295879084938,136,15.196344892802804,322.2367516828043,370.4602372427015,277.0941897982016,77.59851704892625,105.46317222222221,20.54460559156274,06-2018,Patrimoñales y Mixta
69,70.0,A,MAPFRE,1.6144475252331538,1857,39.38469301141043,157.80266887426936,161.16728263369723,110.25794263053494,51.04368127624419,6.673329752640352,2.8543933929921166,06-2018,Patrimoñales y Mixta
70,71.0,A,MERCANTIL ANDINA,2.2173552893236392,3073,41.29738151000221,110.39467855202878,112.41958334429727,89.45581072099543,48.8887274473671,15.978701823380803,50.40520624355153,06-2018,Patrimoñales y Mixta
71,72.0,A,MERCANTIL ASEGURADORA,0.00851547068351678,1,4.959855660853191,0.0,0.0,0.0,80.80347981314168,11.217681481481481,0.0,06-2018,Patrimoñales y Mixta
72,73.0,A,MERIDIONAL,1.6829265531846649,3545,56.90501674250991,157.3654067842978,176.96065213387757,74.03567692881884,37.430727579215315,128.2395925564058,19.067877229042235,06-2018,Patrimoñales y Mixta
73,74.0,A,METLIFE,0.946531692583877,467,13.136578701386059,0.0,0.0,158.3293068805685,80.94141766343218,115.37014450868163,122.71586252125715,06-2018,Patrimoñales y Mixta
74,75.0,A,METROPOL,0.04530811052194005,437,35.19462539646276,129.0831145270143,150.40796339493832,105.34228691683118,61.36299125882098,2.4153796296296295,806.7782501301004,06-2018,Patrimoñales y Mixta
75,76.0,A,NACIÓN,2.7604243956740073,5881,39.423143226017615,202.02025965335767,202.02025965335767,137.9163434178635,57.92522147366108,277.00478897252515,12.58298083085793,06-2018,Patrimoñales y Mixta
76,77.0,A,NATIVA,0.0896656576431303,460,28.420923756969934,148.31215940223325,148.9485947558113,119.06736710251371,63.154917406481225,125.29890740740741,58.63335097130864,06-2018,Patrimoñales y Mixta
77,78.0,A,NIVEL,0.04078280254276634,355,26.910132203475595,90.38119627830726,127.45503635098352,109.6248795027825,65.3720951734656,8.258153703703703,61.065289887012334,06-2018,Patrimoñales y Mixta
78,79.0,A,NOBLE,0.05364081184977339,1033,27.83672775727134,114.83901112268218,114.83901112268218,96.37587488362458,61.683512130787534,64.01642592592593,16.878240793354014,06-2018,Patrimoñales y Mixta
79,80.0,A,NORTE,0.5119793980601564,793,42.7584349196068,165.3281452524488,165.56234303288107,103.53324095423355,54.39324634601752,110.79780415850995,29.037212132370417,06-2018,Patrimoñales y Mixta
80,81.0,C,NUEVA,0.20132275379502718,3481,28.026063353481906,94.57011653712746,94.57011653712746,110.787806303164,48.915049040742666,150.45721474618475,69.31509029935529,06-2018,Patrimoñales y Mixta
81,82.0,A,OPCION,0.13052310293954061,1,38.99740812146846,476.6043543701694,476.6043543701694,379.55868327703564,51.98096120737824,346.85530020932754,75.96791901879611,06-2018,Patrimoñales y Mixta
82,83.0,A,ORBIS,0.8679253207597926,4567,43.780453581936705,67.92128993333293,168.17025807860455,109.40324953660652,50.95195926565518,66.56851145599299,25.298152524445264,06-2018,Patrimoñales y Mixta
83,84.0,A,ORIGENES,0.17018970224474417,5,12.359556506178576,331.4715533536925,331.4715533536925,286.60813354979535,84.8617112709731,63.89696353775835,20.173395473600888,06-2018,Patrimoñales y Mixta
84,85.0,A,PACÍFICO,0.0037583626967240494,0,20.851315095862976,0.0,0.0,856.7997026118172,76.04457035437372,18.585055555555556,710.0132981423205,06-2018,Patrimoñales y Mixta
85,86.0,A,PARANÁ,0.7093079393575932,5252,35.58404541523086,90.09272241202679,92.96449823545123,102.63868692682261,41.02322820609853,17.905047242302597,9.060143755832945,06-2018,Patrimoñales y Mixta
86,87.0,A,PERSEVERANCIA,0.3285264339539029,1389,25.76326276234438,116.46790650481105,129.3961818139246,106.89608906709185,67.11208075145872,32.68620163280161,38.7555590314579,06-2018,Patrimoñales y Mixta
87,88.0,A,PREVINCA,0.045843247490111046,1,9.714087391117873,677.6878975710049,0.0,0.0,73.98345437805625,317.5739373028466,32.16988405744136,06-2018,Patrimoñales y Mixta
88,89.0,C,PRODUCTORES DE FRUTAS,0.18661372138088345,2075,42.57136104196689,35.76665476106535,96.16311808887878,82.10573703015945,47.82665600416276,-17.649239545346102,30.58671080277058,06-2018,Patrimoñales y Mixta
89,90.0,A,PROGRESO,0.07600030213111839,963,32.238752950698704,83.04532384083059,152.5713010117577,112.33573881728825,64.48750688531149,19.22944222222222,6.312305231129821,06-2018,Patrimoñales y Mixta
90,91.0,A,PROVIDENCIA,0.11451722117369127,827,46.620757914931936,101.26237454600606,101.26237454600606,84.78073294220769,41.89451532845865,60.84475925925926,13.394107063659842,06-2018,Patrimoñales y Mixta
91,92.0,A,PROVINCIA,2.7590171807788195,7955,29.39277136473539,116.61637753486119,116.68736843309608,95.90014588713983,68.58492055019478,-19.2181290036893,80.5178640998645,06-2018,Patrimoñales y Mixta
92,93.0,A,PRUDENCIA,0.13195308816883639,1602,50.266148667263074,118.53126878503637,118.53126878503637,82.75990265248359,31.255913338684365,6.595795004653637,9.729331014718307,06-2018,Patrimoñales y Mixta
93,94.0,A,QBE BUENOS AIRES,2.2057173568464914,4218,43.49341623942708,108.88499051438075,108.88499051438075,75.30823731067966,53.62251572383722,-0.5143274365134963,7.431288918841625,06-2018,Patrimoñales y Mixta
94,95.0,A,QUALIA,0.37850790857667593,0,25.71626608617772,784.6893534803646,784.6893534803646,591.7247356018144,72.58720176152589,27.77682788218642,64.72645339981139,06-2018,Patrimoñales y Mixta
95,96.0,C,RÍO URUGUAY,0.7564977129907998,1446,54.85078678708062,158.65962654795626,166.08328782914546,89.05778828323537,27.75608158293985,58.94079139880103,34.36903102261694,06-2018,Patrimoñales y Mixta
96,97.0,C,SAN CRISTÓBAL,2.979519745009872,6079,28.20233635411829,274.0488291021926,274.0488291021926,176.1054948908773,67.07730632208454,182.31839669854963,40.7115946567695,06-2018,Patrimoñales y Mixta
97,98.0,C,SANCOR,4.6566742318013645,3313,27.58904656916502,255.25002551809166,262.4526162210637,195.3702184962118,61.89276832885472,25.075564680634777,11.238884968471961,06-2018,Patrimoñales y Mixta
98,99.0,C,SEGUNDA,2.679857372415348,4419,32.23567491740941,216.91088960468053,219.5318076028176,155.87323290637514,59.466832868644595,227.08832523437042,116.94277070999641,06-2018,Patrimoñales y Mixta
99,100.0,C,SEGURCOOP,0.3022741136593679,1311,34.11107178513746,174.35911905774717,176.52744680045242,116.74623984939383,62.64595646621775,210.62145427325322,6.039241412048154,06-2018,Patrimoñales y Mixta
100,101.0,C,SEGUROMETAL,0.19219861618542253,1238,28.289919880949117,156.15368391293887,159.49648090693117,132.45388032341347,61.36241646008449,260.29824971959005,0.0,06-2018,Patrimoñales y Mixta
101,102.0,A,SEGUROS MÉDICOS,0.04602285260179947,4556,28.28963105585326,93.74563565648802,93.74563565648802,90.27329015169715,51.53112895295556,64.70332261004214,52.017944605804004,06-2018,Patrimoñales y Mixta
102,103.0,A,SMG,0.7312555270100507,3613,40.46468774355467,68.45287410373395,121.30884296560076,90.94443801283899,55.710259139553784,127.58425396086841,5.184480269871509,06-2018,Patrimoñales y Mixta
103,104.0,A,SMSV,0.13953534331695613,0,10.620474407818106,326.4462144765484,326.4462144765484,138.5228592424893,84.25809815228148,33.929556522249236,10.40408848991513,06-2018,Patrimoñales y Mixta
104,105.0,A,SOL NACIENTE,0.2372290896617782,17,27.552999052073563,765.8019301642266,788.7835011827243,265.88976992759405,70.87635799917821,73.49350370208526,71.82120673387807,06-2018,Patrimoñales y Mixta
105,106.0,E,STARR,0.03996728881465751,0,61.01601352886191,0.0,0.0,323.31617258965935,33.51760164686164,101.69680978781032,0.86817202192474,06-2018,Patrimoñales y Mixta
106,107.0,C,SUMICLI,0.001672091131546605,0,14.66670287802406,0.0,0.0,0.0,59.65658604051593,239.0165222222222,0.0,06-2018,Patrimoñales y Mixta
107,108.0,A,SUPERVIELLE,0.2638911122103918,0,34.534052315313716,349.049243435049,380.6351977663099,399.6506465150155,60.37944502870296,137.27814366219252,14.739222450088706,06-2018,Patrimoñales y Mixta
108,109.0,A,SURA,2.1296394539008934,6024,44.80267334238729,136.56317665322968,136.96918591873265,91.00218546474387,50.394889080489904,21.23083103256095,17.79231589704765,06-2018,Patrimoñales y Mixta
109,110.0,A,SURCO,0.1060071142189791,315,31.688664222798717,189.6900543443509,205.26676022585332,171.8525176620045,54.42415384226504,75.4004341415274,0.0,06-2018,Patrimoñales y Mixta
110,111.0,A,TESTIMONIO,0.06946789187658935,39,57.58090514046894,300.67485516287064,303.0530928561029,119.5983610986314,29.669867024894053,8.888776388888889,11.367577399949292,06-2018,Patrimoñales y Mixta
111,112.0,A,TPC,0.06935732281994546,1899,49.741601911197826,85.71021207099602,109.28180247833363,110.1075516653476,25.05223392100126,104.6046761904762,7.454315790465676,06-2018,Patrimoñales y Mixta
112,113.0,A,TRAYECTORIA SEGUROS,0.00852440746263791,1,10.808168434264825,0.0,0.0,773.9747213125647,85.48654658318921,80.08733333333333,48.75841769992037,06-2018,Patrimoñales y Mixta
113,114.0,C,TRIUNFO,0.3890073756717236,2221,34.324710065828164,163.47038442579856,167.7225322128043,143.7861173179846,56.08316164162913,228.14108808948257,45.21590309491501,06-2018,Patrimoñales y Mixta
114,115.0,A,TUTELAR,0.006723725382997065,0,13.83758661858631,448.43328777977297,633.9577364493169,348.5388927336886,75.82185958907817,167.95793333333333,7.080972420893707,06-2018,Patrimoñales y Mixta
115,116.0,A,VICTORIA,0.2071844638791778,1371,34.93069928302746,124.550454859724,168.67085618003827,124.71485154391912,58.668968719350566,157.12907870390347,6.349010716586116,06-2018,Patrimoñales y Mixta
116,117.0,A,VIRGINIA,0.3153976984454765,11,59.03935032941163,529.3557893858567,529.3557893858567,83.11143420805693,32.551859259061956,32.7139954448129,8.173175280590785,06-2018,Patrimoñales y Mixta
117,118.0,A,WARRANTY,0.0,0,21.943250094089038,0.0,0.0,0.0,76.37103220624573,-22.0397,6.361922867126447,06-2018,Patrimoñales y Mixta
118,119.0,A,XL INSURANCE,0.0,18,6.550324991881477,0.0,0.0,0.0,92.3512225278279,266.5604885885484,0.0,06-2018,Patrimoñales y Mixta
119,120.0,A,ZURICH,2.0328888513297527,3061,37.713629639967436,125.02806092066439,129.9307951968609,94.6709166166512,60.347916088431695,39.715483404482484,21.162357163906005,06-2018,Patrimoñales y Mixta
120,121.0,A,ZURICH SANTANDER,0.7424537532817859,40,36.999114966377746,462.04315257444296,462.04315257444296,285.88182387055144,61.39212751591856,65.78291904085401,18.42639016638756,06-2018,Patrimoñales y Mixta
121,1.0,A,ASOCIART ART,2.4047155836075063,32325,6.716666271060716,123.6596073131401,123.6596073131401,116.93210235612963,92.07019334107153,3.589956456321079,56.582875004387304,06-2018,Riesgos del Trabajo
122,2.0,A,BERKLEY ART,0.4101424070635753,2450,6.776975690264854,292.0230329475025,292.0230329475025,285.72560789622935,92.64440435709577,988.110009009086,21.601592371492877,06-2018,Riesgos del Trabajo
123,3.0,A,CAMINOS PROTEGIDOS ART,0.04857574009300187,2299,28.738972645677798,62.98066328582394,62.98066328582394,55.14605106654017,70.81809878532157,-393.35144404844937,27.90363015549525,06-2018,Riesgos del Trabajo
124,4.0,A,EXPERTA ART,3.1899570092926317,42216,4.464721179401436,132.59863728466388,133.41110404708198,120.4019645313355,94.64905885950242,67.53699824365536,51.689564197389444,06-2018,Riesgos del Trabajo
125,5.0,A,GALENO ART,3.435319238124072,65869,5.30879906502799,125.9731642523952,125.9731642523952,119.32343426230307,93.25569340466845,1.1010866467482117,38.51395115075261,06-2018,Riesgos del Trabajo
126,6.0,A,LIDERAR ART,0.13525889900432753,5079,23.255022450473923,84.44687012425739,84.44687012425739,84.44687012425739,76.38968816418081,-340.1454845897507,0.0,06-2018,Riesgos del Trabajo
127,7.0,C,MUTUAL PETROLEROS ART,0.0026746186217552178,0,0.3655934764340221,0.0,0.0,806.1676620266218,97.39011465346753,14.901394285714286,488.121091698228,06-2018,Riesgos del Trabajo
128,8.0,A,OMINT ART,0.5713534041025894,4890,7.379504732576544,130.27393546191647,130.27393546191647,116.46058568512395,89.0881423547362,7.771077697643777,24.805444560923878,06-2018,Riesgos del Trabajo
129,9.0,A,PREVENCIÓN ART,5.634340701644067,37433,5.494918040344065,139.3744192742501,139.39500706601316,129.63449029566914,89.70218175618923,40.072997116679396,17.53054871737422,06-2018,Riesgos del Trabajo
130,10.0,A,PROVINCIA ART,5.363174751892662,68551,7.789440713210014,105.98451778169449,105.98451778169449,101.08021778282396,91.45866009433445,-37.77246838362733,12.231626418570404,06-2018,Riesgos del Trabajo
131,11.0,A,RECONQUISTA ART,0.07292231745660147,1007,2.371858946430543,135.56895866305555,135.56895866305555,126.82924666945038,94.67009747516583,83.31127904719087,198.77156973503722,06-2018,Riesgos del Trabajo
132,12.0,A,SEGUNDA ART,2.1253613363896777,28379,4.717776238937725,128.6807138538722,128.6807138538722,125.22277928739068,93.73922798503853,21.084625272512046,86.06465649949905,06-2018,Riesgos del Trabajo
133,13.0,A,SWISS MEDICAL ART,2.013172558543359,36762,10.407230384811953,119.42001026239726,119.42001026239726,115.15966990927336,89.17368290055872,1.7900113992495272,25.403156784047766,06-2018,Riesgos del Trabajo
134,1.0,C,ARGOS MUTUAL,0.021646076970363654,4121,21.8109026778772,212.7863238758724,213.6872334202883,213.1297633551698,77.84709803816003,313.48119445637184,22.52955593842674,06-2018,Transporte Público Pasajeros
